Rank,Building Name,City,Country,Height (m),Height (ft),Year Completed,Construction Duration,Construction Cost (USD),Architect,Developer,Notes
1,Burj Khalifa,Dubai,United Arab Emirates,828,2717,2010,6 years (2004-2010),1500000000,Skidmore Owings & Merrill,Emaar Properties,World's tallest since 2010; includes 163 floors
2,Merdeka 118,Kuala Lumpur,Malaysia,679,2227,2024,7.5 years (2016-2024),1100000000,Fender Katsalidis + RSP KL,PNB Merdeka Ventures,Tallest in SE Asia; 118 floors
3,Shanghai Tower,Shanghai,China,632,2073,2015,7 years (2008-2015),2400000000,Gensler,Shanghai Tower Construction,2nd tallest by highest occupied floor; 128 floors
4,Makkah Royal Clock Tower,Mecca,Saudi Arabia,601,1972,2012,8 years (2004-2012),15000000000,Dar Al-Handasah + SL Rasch,Saudi Binladin Group,Part of Abraj Al Bait complex; world's largest clock face; 120 floors
5,Ping An Finance Center,Shenzhen,China,599,1965,2017,6 years (2011-2017),1500000000,Kohn Pedersen Fox (KPF),Ping An Insurance,1 (T1 of 4 towers); 115 floors
6,Lotte World Tower,Seoul,South Korea,555,1819,2017,6 years (2011-2017),3800000000,KPF,Lotte Group,Tallest in OECD countries; 123 floors
7,One World Trade Center,New York City,United States,541,1776,2014,8 years (2006-2014),3900000000,SOM (David Childs),Port Authority of NY/NJ,Symbolic height 1776 ft (US independence); 104 floors
8,Guangzhou CTF Finance Centre,Guangzhou,China,530,1739,2016,6 years (2010-2016),1100000000,KPF + Ronald Lu & Partners,WHARF Holdings / CTF Group,Also called Chow Tai Fook Centre; 111 floors
9,Tianjin CTF Finance Centre,Tianjin,China,530,1739,2019,6 years (2013-2019),900000000,KPF + East China Architectural,WHARF Holdings / CTF Group,Twin tower design to Guangzhou; 97 floors
10,China Zun (CITIC Tower),Beijing,China,528,1732,2018,7 years (2011-2018),1300000000,Farrells + KPF,China CITIC Group,Beijing's tallest; 108 floors
11,Taipei 101,Taipei,Taiwan,508,1667,2004,5.5 years (1999-2004),1800000000,C.Y. Lee & Partners,Taipei Financial Center Corp,Held #1 2004-2010; world's fastest elevator (2004); 101 floors
12,Shanghai World Financial Center,Shanghai,China,492,1614,2008,11 years (1997-2008),1200000000,KPF,Mori Building Company,Called "bottle opener" for trapezoid aperture; 101 floors
13,International Commerce Centre (ICC),Hong Kong,China,484,1588,2010,8 years (2002-2010),1000000000,KPF + Wong & Ouyang,Sun Hung Kai Properties,Tallest in Hong Kong; 118 floors
14,Wuhan Greenland Center,Wuhan,China,475.6,1560,2023,10 years (2013-2023),800000000,Adrian Smith + Gordon Gill,Greenland Group,Initially planned 636m but reduced due to airspace; 100 floors
15,Central Park Tower,New York City,United States,472.4,1550,2021,6 years (2014-2021),3000000000,Adrian Smith + Gordon Gill,Extell Development,Tallest primarily residential building; 98 floors
16,Lakhta Center,St. Petersburg,Russia,462,1516,2019,7 years (2012-2019),1770000000,Tony Kettle + Gorproject,Gazprom,Russia/Europe's tallest skyscraper; 87 floors
17,Landmark 81,Ho Chi Minh City,Vietnam,461.3,1513,2018,4 years (2014-2018),1500000000,Atkins,Vingroup,Vietnam's tallest; 81 floors
18,Chongqing International Finance Centre (IFS) T1,Chongqing,China,458.2,1503,2022,6 years (2016-2022),750000000,P&T Group,WHARF Holdings,Mountain terrain spire; 78 floors
19,Changsha IFS Tower T1,Changsha,China,452,1483,2018,5 years (2013-2018),800000000,Wong Tung & Partners,WHARF Holdings,Hunan province's tallest; 94 floors
20,The Exchange 106,Kuala Lumpur,Malaysia,445.5,1462,2019,5 years (2014-2019),1000000000,Mulia Group + Mott MacDonald,Mulia Group / TRX City,Kuala's 2nd tallest; 106 floors
